invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
750-67-8428,alex,yangon,member,female,health and beauty,74.69,7,26.1415,548.9715,01-05-2019,1:08:00 PM,ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,giza,naypyitaw,normal,female,electronic accessories,15.28,5,3.82,80.22,03-08-2019,10:29:00 AM,cash,76.4,4.761904762,3.82,9.6
631-41-3108,alex,yangon,normal,female,home and lifestyle,46.33,7,16.2155,340.5255,03-03-2019,1:23:00 PM,credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,alex,yangon,member,female,health and beauty,58.22,8,23.288,489.048,27-01-2019,8:33:00 PM,ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,alex,yangon,member,female,sports and travel,86.31,7,30.2085,634.3785,02-08-2019,10:37:00 AM,ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,giza,naypyitaw,member,female,electronic accessories,85.39,7,29.8865,627.6165,25-03-2019,6:30:00 PM,ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,alex,yangon,member,female,electronic accessories,68.84,6,20.652,433.692,25-02-2019,2:36:00 PM,ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,giza,naypyitaw,member,female,home and lifestyle,73.56,10,36.78,772.38,24-02-2019,11:38:00 AM,ewallet,735.6,4.761904762,36.78,8.0
665-32-9167,alex,yangon,member,female,health and beauty,36.26,2,3.626,76.146,01-10-2019,5:15:00 PM,credit card,72.52,4.761904762,3.626,7.2
692-92-5582,cairo,mandalay,member,female,food and beverages,54.84,3,8.226,172.746,20-02-2019,1:27:00 PM,credit card,164.52,4.761904762,8.226,5.9
351-62-0822,cairo,mandalay,member,female,fashion accessories,14.48,4,2.896,60.816,02-06-2019,6:07:00 PM,ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,cairo,mandalay,member,female,electronic accessories,25.51,4,5.102,107.142,03-09-2019,5:03:00 PM,cash,102.04,4.761904762,5.102,6.8
365-64-0515,alex,yangon,member,female,electronic accessories,46.95,5,11.7375,246.4875,02-12-2019,10:25:00 AM,ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,alex,yangon,member,female,food and beverages,43.19,10,21.595,453.495,02-07-2019,4:48:00 PM,ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,alex,yangon,member,female,health and beauty,71.38,10,35.69,749.49,29-03-2019,7:21:00 PM,cash,713.8,4.761904762,35.69,5.7
299-46-1805,cairo,mandalay,member,female,sports and travel,93.72,6,28.116,590.436,15-01-2019,4:19:00 PM,cash,562.32,4.761904762,28.116,4.5
656-95-9349,alex,yangon,member,female,health and beauty,68.93,7,24.1255,506.6355,03-11-2019,11:03:00 AM,credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,alex,yangon,member,female,sports and travel,72.61,6,21.783,457.443,01-01-2019,10:39:00 AM,credit card,435.66,4.761904762,21.783,6.9
329-62-1586,alex,yangon,member,female,food and beverages,54.67,3,8.2005,172.2105,21-01-2019,6:00:00 PM,credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,cairo,mandalay,member,female,home and lifestyle,40.3,2,4.03,84.63,03-11-2019,3:30:00 PM,ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,giza,naypyitaw,member,female,electronic accessories,86.04,5,21.51,451.71,25-02-2019,11:24:00 AM,ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,cairo,mandalay,member,female,health and beauty,87.98,3,13.197,277.137,03-05-2019,10:40:00 AM,ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,cairo,mandalay,member,female,home and lifestyle,33.2,2,3.32,69.72,15-03-2019,12:20:00 PM,credit card,66.4,4.761904762,3.32,4.4
636-48-8204,alex,yangon,member,female,electronic accessories,34.56,5,8.64,181.44,17-02-2019,11:15:00 AM,ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,alex,yangon,member,female,sports and travel,88.63,3,13.2945,279.1845,03-02-2019,5:36:00 PM,ewallet,265.89,4.761904762,13.2945,6.0
227-03-5010,alex,yangon,member,female,home and lifestyle,52.59,8,21.036,441.756,22-03-2019,7:20:00 PM,credit card,420.72,4.761904762,21.036,8.5
649-29-6775,cairo,mandalay,member,female,fashion accessories,33.52,1,1.676,35.196,02-08-2019,3:31:00 PM,cash,33.52,4.761904762,1.676,6.7
189-17-4241,alex,yangon,member,female,fashion accessories,87.67,2,8.767,184.107,03-10-2019,12:17:00 PM,credit card,175.34,4.761904762,8.767,7.7
145-94-9061,cairo,mandalay,member,female,food and beverages,88.36,5,22.09,463.89,25-01-2019,7:48:00 PM,cash,441.8,4.761904762,22.09,9.6
848-62-7243,alex,yangon,member,female,health and beauty,24.89,9,11.2005,235.2105,15-03-2019,3:36:00 PM,cash,224.01,4.761904762,11.2005,7.4
871-79-8483,cairo,mandalay,member,female,fashion accessories,94.13,5,23.5325,494.1825,25-02-2019,7:39:00 PM,credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,cairo,mandalay,member,female,sports and travel,78.07,9,35.1315,737.7615,28-01-2019,12:43:00 PM,cash,702.63,4.761904762,35.1315,4.5
640-49-2076,cairo,mandalay,member,female,sports and travel,83.78,8,33.512,703.752,01-10-2019,2:49:00 PM,cash,670.24,4.761904762,33.512,5.1
595-11-5460,alex,yangon,member,female,health and beauty,96.58,2,9.658,202.818,15-03-2019,10:12:00 AM,credit card,193.16,4.761904762,9.658,5.1
183-56-6882,giza,naypyitaw,member,female,food and beverages,99.42,4,19.884,417.564,02-06-2019,10:42:00 AM,ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,giza,naypyitaw,member,female,sports and travel,68.12,1,3.406,71.526,01-07-2019,12:28:00 PM,ewallet,68.12,4.761904762,3.406,6.8
129-29-8530,alex,yangon,member,female,sports and travel,62.62,5,15.655,328.755,03-10-2019,7:15:00 PM,ewallet,313.1,4.761904762,15.655,7.0
272-65-1806,alex,yangon,member,female,electronic accessories,60.88,9,27.396,575.316,15-01-2019,5:17:00 PM,ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,giza,naypyitaw,member,female,health and beauty,54.92,8,21.968,461.328,23-03-2019,1:24:00 PM,ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,cairo,mandalay,member,female,home and lifestyle,30.12,8,12.048,253.008,03-03-2019,1:01:00 PM,cash,240.96,4.761904762,12.048,7.7
280-35-5823,cairo,mandalay,member,female,home and lifestyle,86.72,1,4.336,91.056,17-01-2019,6:45:00 PM,ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,giza,naypyitaw,member,female,home and lifestyle,56.11,2,5.611,117.831,02-02-2019,10:11:00 AM,cash,112.22,4.761904762,5.611,6.3
354-25-5821,cairo,mandalay,member,female,sports and travel,69.12,6,20.736,435.456,02-08-2019,1:03:00 PM,cash,414.72,4.761904762,20.736,5.6
228-96-1411,giza,naypyitaw,member,female,food and beverages,98.7,8,39.48,829.08,03-04-2019,8:39:00 PM,cash,789.6,4.761904762,39.48,7.6
617-15-4209,giza,naypyitaw,member,female,health and beauty,15.37,2,1.537,32.277,16-03-2019,7:47:00 PM,cash,30.74,4.761904762,1.537,7.2
132-32-9879,cairo,mandalay,member,female,electronic accessories,93.96,4,18.792,394.632,03-09-2019,6:00:00 PM,cash,375.84,4.761904762,18.792,9.5
370-41-7321,cairo,mandalay,member,female,health and beauty,56.69,9,25.5105,535.7205,27-02-2019,5:24:00 PM,credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,cairo,mandalay,member,female,food and beverages,20.01,9,9.0045,189.0945,02-06-2019,3:47:00 PM,ewallet,180.09,4.761904762,9.0045,4.1
